wallet_address,total_pnl,category,trading_style,token_count,patterns,last_analyzed
6P2XrFUBfm6qGSadmopSMovtqNDN5hWj3JJ3bqjaL2NP,68218331.62,Mega Whale,Super Diversified,103,"Pump Specialist (86 tokens, 146,511,942 volume) | Whale Positions (19 large holdings)",2024-12-03
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,62952178.64,Mega Whale,Super Diversified,177,"Pump Specialist (131 tokens, 1,373,857,468 volume) | Whale Positions (127 large holdings)",2024-12-03
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,7500777.82,Whale,Super Diversified,426,"Pump Specialist (190 tokens, 500,618,444 volume) | Whale Positions (107 large holdings)",2024-12-03
BH84Uo2YAnyWRUWeWyfFzttRmE51V682xUaD6NrLHM88,7460778.18,Whale,Super Diversified,299,"Pump Specialist (215 tokens, 885,138,407 volume) | Whale Positions (84 large holdings)",2024-12-03
kCVKJ3nuDH1twVXUJCWXsnPTswiHgEV3heYhd1g81E2,3678006.98,Large Trader,Super Diversified,188,"Pump Specialist (84 tokens, 2,184,240 volume) | Whale Positions (8 large holdings)",2024-12-03
6r3WKowwoqYkG4P2zVvX1aNBrg8Da1NZpHT9QxQy9w57,3028746.94,Large Trader,Super Diversified,237,"Pump Specialist (199 tokens, 215,021,654 volume) | Whale Positions (85 large holdings)",2024-12-03
TyC6ttYUr2BVyTPxPpzKqdbpuJbquT6VXMsYVDwK2HF,2536234.65,Large Trader,Super Diversified,198,"Pump Specialist (47 tokens, 46,476,511 volume) | Whale Positions (14 large holdings)",2024-12-03
3JPYL9xEPFjefV3tccrUwhLzME1mMq2dQSDeDebgzQi6,2167304.24,Large Trader,Super Diversified,225,"Pump Specialist (130 tokens, 154,262,172 volume) | Meme Trader (1 tokens) | Whale Positions (31 large holdings)",2024-12-03
6tRZkbqwy99hWuExk8TnKYpUHHcQ6jb4FjnNwjh4RkHY,1494070.66,Large Trader,Super Diversified,112,"Pump Specialist (57 tokens, 67,968,211 volume) | Whale Positions (5 large holdings)",2024-12-03
EKDB7EyLPD7a2Mqo7Kh8Y4aR7gD26VErY3yj41eZjwCJ,1209543.31,Large Trader,Super Diversified,676,"Pump Specialist (319 tokens, 222,420,576 volume) | Meme Trader (1 tokens) | Whale Positions (31 large holdings)",2024-12-03
AvB7rAtbhm5Ftu2hz54FhfEG7obrcFJRMFFox6W99Emc,1205784.58,Large Trader,Super Diversified,112,"Pump Specialist (44 tokens, 48,281,114 volume) | Whale Positions (13 large holdings)",2024-12-03
4VYpbeyGwS9WocLxTBkNKtiBgn5WV5qRam4HdHLBxvUR,49512021.69,Mega Whale,Unknown,0,None Detected,2024-12-03
7EXNiL85uAxSYpY3vzei61VM2Bu7mkgD8LqyD2QqJguY,37752192.19,Mega Whale,Unknown,0,None Detected,2024-12-03
3kjF7ZXfMYo1dqxFNE7WVtQ38zZSciptu1deWYibre1m,36225916.42,Mega Whale,Unknown,0,None Detected,2024-12-03
8Q3p7w5x1PXyy99kPxEsgrdkp1ExtCyUAzGeXGqMXL8E,34506440.25,Mega Whale,Unknown,0,None Detected,2024-12-03
FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j,33550496.72,Mega Whale,Unknown,0,None Detected,2024-12-03
4rKhMmSDMQ7aheSXz47AxsR9iSoVFKTV2c24BXn782Ey,33182272.57,Mega Whale,Unknown,0,None Detected,2024-12-03
3Vwrp1bYFvScBztiTtErHD1LQxcMzWEmgboCe5XyUYAd,33148965.79,Mega Whale,Unknown,0,None Detected,2024-12-03
5MNizMzFryXZC5JPxdH9ugfgmJcyLBKxENiGRAZygBRS,29473644.16,Mega Whale,Unknown,0,None Detected,2024-12-03
FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3,27605211.35,Mega Whale,Unknown,0,None Detected,2024-12-03
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,26863072.31,Mega Whale,Unknown,0,None Detected,2024-12-03
4U7RCa8R7UZcNz3KUSexmrcMdFMd9WgQqqxb8rX7ffRB,25308043.79,Mega Whale,Unknown,0,None Detected,2024-12-03
7XpcowtypeJyCRJAgyQmYR4xAgdnykPJXum5b4a843YJ,24523593.4,Mega Whale,Unknown,0,None Detected,2024-12-03
9Z1Jtf9tp32rLCPE3HgX4uyCEVArLN7DCrnSFdN5LYhy,23134357.59,Mega Whale,Unknown,0,None Detected,2024-12-03
8QaDxsrvMUJ8CU9zQoZbcgzLfRGEPGqA2G9pckJGNywn,21564842.82,Mega Whale,Unknown,0,None Detected,2024-12-03
3SCcDZ4kdJ3PJgW5gB72ebhfG3Kacfq5FF8bfUBQGcx3,21384584.47,Mega Whale,Unknown,0,None Detected,2024-12-03
